name,website,place_id,city,state,status,phones,emails,services,raw_services,service_areas,trust_signals,socials,has_photo_gallery,has_contact_form,title,meta_description
Epoxy Foxy Floor Coatings,https://www.epoxyfoxy.com/,ChIJU9CAKaczjoARBGFsdHzMkoc,San Francisco,CA,ok,(408) 641-5181; (408) 676-2020; (552) 523-1157; (394) 297-2965; (446) 914-2543; (796) 120-8362; (733) 866-7831; (329) 614-1403; (844) 174-8090; (440) 469-4113,info@epoxyfoxy.com,commercial; concrete_polish; concrete_stain; countertops; epoxy_flake; metallic_epoxy; residential,Concrete Inspection and Testing; Driveway Coatings; EPOXY FOXY ONLINE PRICE QUOTE; Epoxy Floor Application; Garage Coatings; How Does Our New Contactless Epoxy Flooring Service Work?; How Much Does Epoxy Flooring Cost?; Patio Coatings; Polished Concrete; info@epoxyfoxy.com,"Campbell, CA; Created with Sketch. Campbell, CA; Floor Installers in San Jose, CA; Unit A Campbell, CA","{""licensed"": true, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 1}","{""instagram"": ""https://www.instagram.com/epoxyfoxycoatings/""}",True,True,EPOXY FOXY » Epoxy Floor Coatings Installers in the SF Bay Area,"From garage floors and car showrooms to industrial businesses and basements, Epoxy Foxy offers a modern concrete floor coating solution."
Superior Epoxy Coatings,https://epoxyall.com/,ChIJ_S9C2jJlhYARxz_I4E3rjJ8,San Francisco,CA,ok,(520) 966-3506; (925) 966-3506,,commercial; concrete_polish; epoxy_flake; metallic_epoxy; residential,COMMERCIAL FLOOR COATING SERVICE; GARAGE FLOOR COATING SERVICE,"Martinez, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/superiorepoxycoating/"", ""youtube"": ""https://www.youtube.com/channel/UCnlYXLzwVM7H6S7UT0iZGBA"", ""tiktok"": ""https://www.tiktok.com/@superiorepoxycoatings?lang=en""}",False,True,"Rated #1 Trusted Garage Floor Coating Company, Martinez, CA","Superior Epoxy is an installing garage floor coating company in Martinez, CA. We specialize in garage floor, commercial garage, and industrial concrete coatings."
Bay Tek Coatings,https://www.baytekcoatings.com/,ChIJZ99x_gqHhYAREqpaKc2JtOI,San Francisco,CA,ok,(408) 475-1209,info@baytekcoatings.com,polyaspartic; polyurea; pool_deck; residential,1 Day Coating Process; 1-Day Coating Process; 4X Stronger Than Epoxy; All Concrete Surfaces and More!; Basement Floors; Bathroom Floors; Commercial Concrete Coatings; CommercialConcrete Coatings; Concrete Coatings; Facebook@BayTekCoatings; Food Production and Kitchen Floors; Garage Floor Coatings; Garage Floors; Industrial Concrete Coatings; IndustrialConcrete Coatings; Instagram@BayTekCoatings; Patio Concrete Coatings; Polyurea vs Epoxy; Residential Concrete Coatings; Residential Floor Coatings; ResidentialConcrete Coatings; San Mateo Concrete Coatings; San Mateo's Best1-Day FloorCoatings; Youtube@BayTekCoatings; info@baytekcoatings.com,"Gas UV Stable, NO; Milpitas, CA; Never Chip or Peel UV Stable, NO; San Mateo, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/BayTekCoatings/"", ""instagram"": ""https://www.instagram.com/explore/tags/baytekcoatings/"", ""youtube"": ""https://www.youtube.com/@BayTekCoatings""}",True,True,Bay Tek Coatings | Epoxy & Polyurea Coatings in Bay Area,"Get a FREE estimate for your epoxy/polyurea concrete coating. From South San Francisco to Mountain View, we refinish cracked concrete floors."
"Best Epoxy, LLC",https://www.bestepoxyllc.com/,ChIJqfVJiTgJX2ERudsDZ5rUXQI,San Francisco,CA,ok,(650) 669-4376,ddaniels@bestepoxycc.com,commercial; concrete_polish; concrete_stain; residential,Concrete Polishing and Staining; Email:ddaniels@bestepoxycc.com; Epoxy Flooring; ddaniels@bestepoxycc.com,"All Areas We Serve Fremont, CA; Areas we serve San Jose, CA; Campbell, CA; Concrete Polishing in Fremont, CA; Cupertino, CA; Fremont, CA; Hayward, CA; Milpitas, CA; Mountain View, CA; Oakland, CA; POLISHING CONTRACTOR IN Fremont, CA; San Bruno, CA; San Francisco, CA; San Jose, CA; San Mateo, CA; Santa Clara, CA; Serve Areas We Serve San Jose, CA; Social Areas We Serve San Jose, CA; Sunnyvale, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 17}","{""instagram"": ""https://www.instagram.com/bestepoxycc/""}",True,True,"Epoxy Flooring & Concrete Polishing in Fremont, CA","Best Epoxy, LLC provides expert epoxy flooring, concrete polishing & overlays in Fremont, CA & the Bay Area. 17+ years of experience. Call (650) 669-4376!"
Epoxy Crew Inc,https://epoxycrewinc.com/,ChIJF0LxjTNnhYAR8zcyEei11YA,San Francisco,CA,ok,(925) 727-7414,info@epoxycrewinc.com,epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; polyurea; residential,EPOXY CREW INC.; Email:info@epoxycrewinc.com,"Jessica Z. Piedmont, CA; Kevin W. El Cerrito, CA; Montebello Ct. Concord, CA; Natasha S. Richmond, CA","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 5}","{""facebook"": ""https://www.facebook.com/people/Epoxy-Crew-Inc/61589830037929/"", ""instagram"": ""https://www.instagram.com/epoxy_crew_/""}",True,True,California’s Trusted Epoxy Flooring Specialists. - Epoxy Crew Inc.,"Get the best epoxy flooring solutions for residential and commercial spaces. Durable, stylish, and expertly installed by Epoxy Crew Inc."
Duraamen Industrial Coatings & Polished Concrete Flooring - California,https://bayarea.duraamen.com/?utm_source=google+business+profile&utm_medium=local&utm_campaign=California,ChIJ_Tgq2ZKRj4ARBXs0C_0dpbE,San Francisco,CA,unreachable,,,,,,{},{},False,False,,
"Bay Area Epoxy, Waterproofing & Roofing Supplies",https://bayareaepoxywholesale.com/,ChIJpzZxbeSRj4AR88GOtGn-Vdw,San Francisco,CA,ok,(510) 362-8501,,commercial; epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; residential,Epoxy Floor Coatings; Industrial Epoxy; Protective Coatings; Resinous Coatings & Supplies,"American Ave Hayward, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/bayareaepoxywholesale/""}",False,True,Epoxy Supplier California | Flooring Products — Bayarea Epoxy wholesale,"Buy epoxy flooring supplies & waterproofing products near Hayward, CA. Trusted wholesale epoxy supplier serving Bay Area & California. Fast delivery."
Floor Pros,http://www.cafloorpros.com/,ChIJVYz6CqV_j4AR0rEN_-KxIiM,San Francisco,CA,ok,(510) 206-5003; (650) 888-0752; (415) 587-1855; (415) 206-1122,contact@cafloorpros.com,,Coating; Concrete,"S Maple Ave South San Francisco, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://instagram.com/cafloorpros_?igshid=MzRlODBiNWFlZA=="", ""facebook"": ""https://www.facebook.com/profile.php?id=61550718157170&viewas=&show_switched_toast=false&show_switched_tooltip=false&is_tour_dismissed=false&is_tour_completed=false&show_podcast_settings=false&show_community_review_changes=false&should_open_composer=false&badge_type=NEW_MEMBER&show_community_rollback_toast=false&show_community_rollback=false&show_follower_visibility_disclosure=false&bypass_exit_warning=true"", ""linkedin"": ""https://www.linkedin.com/company/ca-floor-pros/about/?viewAsMember=true""}",True,False,CA Floor Pros | Transform Your Floors Today — Get Started,"Top-quality hardwood flooring installation, sanding, and restoration services in the San Francisco Bay Area. Expert craftsmanship since 1980. Contact us today!"
Epoxy Plus,https://epoxy.plus/,ChIJ2XxuLBzzj4ARVGTKXZPfygk,San Francisco,CA,ok,(800) 393-7679; (213) 394-8068; (925) 854-1489; (949) 396-1834; (833) 495-7183,,commercial; concrete_repair,ACI–American Concrete Repair Institute; Commercial Kitchen & Restaurant Epoxy Flooring; Design : Epoxy; Epoxy Floor Install Services; Epoxy Flooring; Grind and Seal Concrete Flooring; MMA  Flooring; Urethane  Flooring,"Irvine, CA; Los Angeles, CA; San Ramon, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 25}","{""facebook"": ""https://www.facebook.com/epoxy.plus.california/""}",False,False,"Industrial Strength Epoxy Floor Installs, Epoxy Flooring Company","Epoxy Flooring Company & Epoxy Floor Contractor, Installer. Epoxy, MMA, & Urethane Systems. Competitive, Professional Bids & Consultations. Free Estimates."
Bay Pro Garage LLC,,ChIJWWNQeQigKA0R7noIym5XYxY,San Francisco,CA,no_website,,,,,,{},{},False,False,,
San Jose Epoxy,https://www.sanjoseepoxy.com/,ChIJR1vaNsWck4URt778vD_XKpY,San Francisco,CA,ok,(408) 900-6039,,commercial; concrete_polish; epoxy_solid; metallic_epoxy; residential,Commercial Epoxy Flooring; Concrete Polishing; Concrete Resurfacing; Epoxy Flooring; Epoxy Garage Flooring; Industrial Epoxy Flooring; Metallic Epoxy Flooring,"San Jose, CA; We are San Jose, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""https://www.facebook.com/San-Jose-Epoxy-107505475162981""}",False,True,"Epoxy Flooring | San Jose, CA | Epoxy Garage Floor Coating Experts -","Ready to install a new epoxy floor? Give us a call now! 408-900-6039 | We are San Jose, CA and the Bay Area's top Epoxy Flooring Company. Give us a call if you've got a garage floor that is in need of a fresh epoxy look!"
FAMSCA,https://fams-ca.com/,ChIJiWa8kYJ5SUUREoa7NLlOuoc,San Francisco,CA,unreachable,,,,,,{},{},False,False,,
Angel's paint & Epoxy,http://www.angelspaintandepoxy.com/,ChIJEfhZJlK1j4AR4xFCp4kyojE,San Francisco,CA,ok,(408) 921-6683,angelspaintandepoxy@gmail.com,epoxy_solid; polyaspartic; residential,,"Sunnyvale, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""youtube"": ""https://www.youtube.com/watch?v=0_5iXOi3vfs&feature=youtu.be""}",True,True,Epoxy Garage Floors  | Sunnyvale CA,"Angels Epoxy Garage Floors installs epoxy garage flooring quickly, and professionally, at a reasonable price. With our system we can coat sidewalls, and steps, even if they are constructed out of wood-completing the finish of your garage."
Property Channel Flooring,https://www.propertychannelflooring.com/,ChIJGREUUzOD-SERtSVT7kc6dvg,San Francisco,CA,ok,(925) 330-8550,,commercial; residential,"Castro Valley Flooring; Flooring Berkeley CA; Flooring Concord CA; Flooring Dublin CA; Flooring Fremont CA; Flooring Hayward CA; Flooring Livermore CA; Flooring Oakland CA; Flooring Pleasanton CA; Flooring Products; Flooring Project Gallery; Flooring San Francisco CA; Flooring San Ramon CA; Flooring Walnut Creek CA; Flooring in Richmond, CA; ✨ Celebrate Freedom with Beautiful New Floors!","Creek, CA; Hayward CA Flooring in Richmond, CA; Oakland, CA","{""licensed"": true, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/profile.php?id=61559156587140"", ""instagram"": ""https://www.instagram.com/pcfsolutionz/"", ""linkedin"": ""https://www.linkedin.com/feed/?trk=guest_homepage-basic_google-one-tap-submit"", ""youtube"": ""https://www.youtube.com/@PropertyChannelFLooring""}",False,True,Property Channel Flooring | Hardwood & LVP Installation Oakland Bay Area,"Property Channel Flooring offers expert hardwood, LVP, carpet & commercial flooring installation in Oakland Bay Area. Licensed team, premium quality & free estimates. Call (925) 330-8550 now!"
C*Rock Finishing,http://crockfinish.com/,ChIJpQvhPiCHj4ARMmKETYi6SHk,San Francisco,CA,ok,(510) 214-6862,customerservice@crockfinish.com,concrete_polish; concrete_stain,Bay AreaEpoxyFlooring &PolishedConcreteDone Right...; Concrete Floor Polishing; Concrete Floor Sealing; Concrete Floor Staining; Epoxy Flooring; Polished Concrete Flooring; Sealing Concrete Flooring; Stained Concrete Flooring; We provideprofessionalconcrete flooringservices.; We provideprofessionalconcretefloor sealingservices.,,"{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/CRockFinish"", ""instagram"": ""https://www.instagram.com/c_rock_finishing/""}",False,False,Epoxy Flooring & Concrete Polishing | Bay Area | C*Rock Finishing,"C*Rock Finishing epoxy flooring and concrete polishing service provider in the Bay Area.  Turn you concrete into beautiful, durable floors. Free quote: 510-214-6862"
Hi Tech Hardwood Floors,https://htfloors.com/,ChIJrS6ujaWHhYARKr9PJvucAnA,San Francisco,CA,ok,(415) 720-1612,info@htfloors.com,,Flooring Selections; Flooring Services,"We carry brands like Mirage, BR","{""licensed"": true, ""insured"": true, ""warranty"": false, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 28}","{""facebook"": ""https://www.facebook.com/hitechhardwoodfloors/""}",True,False,Hardwood Floor Refinishing & Sanding San Francisco | Hi-Tech Hardwood Floors,"San Francisco's hardwood floor refinishing & sanding specialists. Family-owned and operated — Andy & Harry Tran on every job. Dustless sanding, recoating & restoration in SF, Marin & Oakland. 5,000+ homes. NWFA & WFCA certified. CA License #859459."
The Epoxy Kingz,http://theepoxykingz.com/,ChIJpf70A4Jz24gRYw5RhS5IO_E,San Francisco,CA,ok,(941) 202-2123; (239) 932-6003; (239) 823-4952,info@theepoxykingz.com,commercial; concrete_polish; concrete_repair; countertops; epoxy_flake; metallic_epoxy; polyaspartic; pool_deck; residential,Concrete Polishing and Sealing; Decorative Concrete Overlays; Flake Flooring System; Metallic Epoxy; Quartz Flooring; UV-Stable Flooring,"Cape Coral, FL; Epoxy Flooring in Cape Coral, FL; In Cape Coral, FL; Your Space in Cape Coral, FL","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}","{""x"": ""https://www.dur-a-flex.com/"", ""facebook"": ""https://facebook.com/theepoxykingz"", ""instagram"": ""http://instagram.com/theepoxykingz""}",True,True,"Epoxy Flooring | The Epoxy Kingz | Cape Coral, FL",Get durable epoxy floors & coatings from Epoxy Kingz. Contact us for a quote today!
perfect hardwood floors,,ChIJkxdbakF9j4ARZf08wZvkzGc,San Francisco,CA,no_website,,,,,,{},{},False,False,,
"Hayasa Flooring Design, Inc",http://hayasaflooring.com/,ChIJzfdP7y1-j4ARriFItWnPjzs,San Francisco,CA,ok,(415) 823-4143,info@hayasaflooring.com,,Hayasa Flooring Design,"San Francisco, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/hayasaflooringdesign/"", ""facebook"": ""https://www.facebook.com/hayasaflooring/"", ""x"": ""https://twitter.com/HayasaFlooring""}",False,True,Hayasa Flooring Design - Bay Area's Top Hardwood Flooring Professionals,Our extensive experience as hardwood flooring professionals equips us with skills to produce superb hardwood floors of unmatched beauty and durability.
Garage Busters,http://www.garagebustersinc.com/,ChIJI_oYwliWhYARbraakGBjQmY,San Francisco,CA,ok,(415) 453-2323; (877) 722-5676,shawn@garagebustersinc.com,,Floors,"Elk Grove, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}",{},False,False,Garage Busters,
"Ross Concrete Coatings, a division of Ross Painting",https://www.rossconcretecoatings.com/,ChIJ9x-w4gVx7w0Rl-TofYS3aX0,San Francisco,CA,ok,(415) 455-0766,,polyaspartic; polyurea; residential,Ross Concrete Coatings,"San Rafael, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/rosspaintingandconcretecoatings"", ""instagram"": ""https://www.instagram.com/rosspainting/"", ""youtube"": ""https://www.youtube.com/@RossConcreteCoatings""}",True,False,Transform Your Space with Ross Concrete Coatings,"Discover durable, stylish concrete coatings for homes and businesses. Enhance your floors with Ross Concrete Coatings today!"
Robles Concrete Design LLC,http://www.roblesconcretedesign.com/,ChIJafEqXgh3j4ARCKVTe37cMzE,San Francisco,CA,ok,(415) 690-8174,,concrete_polish; concrete_stain; residential,CONCRETE COLORS & STAINS; CONCRETE POLISHING; DECORATIVE CONCRETE; EPOXY COATINGS; POLISHED CONCRETE; POLISHED CONCRETE AND POLISHED CONCRETE MAINTENANCE,,"{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 30}","{""facebook"": ""https://www.facebook.com/ConcretePolishingCouncil/"", ""instagram"": ""https://www.instagram.com/roblesconcretedesign/"", ""linkedin"": ""https://www.linkedin.com/in/roblesconstruction/"", ""x"": ""https://x.com/RCDSANFRANCISCO""}",True,True,Robles Concrete Design | Polished Concrete + Sustainable Flooring | California,"With over 30 years experience, Robles Concrete Design provides California-wide commercial and residential services, including polished concrete, underlayments, overlayments, and microtoppings."
One Touch Flooring,https://www.juiceboxtips.com/,ChIJGdTqWhOBhYARNtXW1xvO0WM,San Francisco,CA,ok,(415) 200-3322,,,"Bamboo Flooring; Ceramic Tile Flooring; Cork Flooring; Epoxy Flooring; Flooring; Hardwood Floor Refinishing; Hardwood Floors; Laminate Flooring; Let's Talk Flooring! Contact Us in San Francisco, CA; Linoleum Flooring; Marble Flooring; Stone Flooring; Tile Flooring; Vinyl Flooring; Wood Flooring","Alameda, CA; Area Service Area Brisbane, CA; Areas Near San Francisco, CA; Belvedere Tiburon, CA; Berkeley, CA; Brisbane, CA; Contact Us in San Francisco, CA; Daly City, CA; Emeryville, CA; San Francisco, CA; Sausalito, CA; Services in San Francisco, CA; South San Francisco, CA; Specialist in San Francisco, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}",{},False,True,"Flooring Services in San Francisco, CA | One Touch Flooring - San Francisco","Need flooring in San Francisco, CA? Call (415) 200-3322 for specialist flooring installation, laminate floor services, and residential flooring install today."
West Coast Epoxy,https://westcoastepoxy.com/,ChIJoVqnEOffmoAR3EIlPJrr22k,San Francisco,CA,ok,(916) 531-1874; (378) 678-2516,,commercial; concrete_polish; concrete_repair; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; residential,"Can I add color to my epoxy garage floors?; Can epoxy be installed over old concrete?; Cleaning and Maintaining Concrete Flooring; Cleaning and Maintaining Concrete FlooringDecember 12, 2024; Commercial Epoxy Flooring; Commercial and Industrial Epoxy Flooring; Concrete Overlays; Concrete Polishing; Concrete Stain and Seal; Coved Flooring Systems; Customizing Your Epoxy Floor; Epoxy Colors and Textures; Epoxy Flooring – Commercial; Epoxy Flooring – Garages; Epoxy Flooring – Industrial; Epoxy Flooring – Trowel Grade; Garage Epoxy Floor; How do I clean my epoxy garage floor?; Industrial Epoxy Flooring; Installing Your Epoxy Garage Floor; Interior Epoxy Flooring Coatings – Misconceptions; Is garage floor epoxy better than bare concrete?; Metallic Epoxy Flooring; Plan Your Garage Floor; Polished Concrete; Ready to Improve Your Garage Floor?; The Benefits of Epoxy Flooring in Medical Facilities; Trowel Grade Epoxy Flooring; Urethane Concrete; What is Garage Floor Epoxy?; Will an epoxy garage floor be slippery?","Alamo, CA; Auburn, CA; Brentwood, CA; Carmichael, CA; Citrus Heights, CA; Clayton, CA; Danville, CA; Davis, CA; Discovery Bay, CA; Dixon, CA; Elk Grove, CA; Epoxy. Tom and Kandy F. Oakdale, CA; Fairfield, CA; Farmgate Way Citrus Heights, CA; Flooring Services in Sacramento, CA; Granite Bay, CA; Grass Valley, CA; Hercules, CA; Joan Moore   Loomis, CA; Lafayette, CA; Lathrop, CA; Lincoln, CA; Livermore, CA; Lodi, CA; Manteca, CA; Martinez, CA; Newcastle, CA; Oakdale, CA; Oakley, CA; Pleasanton, CA; Roseville, CA; Sacramento, CA; Tracy, CA; Vacaville, CA; Walnut Creek, CA; Woodbridge, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 40}","{""facebook"": ""https://www.facebook.com/WestCoastEpoxy/"", ""x"": ""https://twitter.com/EpoxyWest/"", ""youtube"": ""https://www.youtube.com/channel/UCSJ0cd1MJTA6Z8J_E9bbBrg"", ""linkedin"": ""https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwestcoastepoxy.com%2Fanti-slip-finish%2Fthe-benefits-of-epoxy-flooring-in-medical-facilities%2F&title=The+Benefits+of+Epoxy+Flooring+in+Medical+Facilities&summary=Selecting+epoxy+flooring+for+medical+facilities+comes+with+many+benefits%21+It%27s+exceptionally+durable%2C+easy+to+disinfect%2C+and+safer+for+employees+and+patients.+Find+out+how+you+can+enjoy+these+benefits+and+more%21""}",True,True,West Coast Epoxy - Commercial and Residential in Sacramento,West Coast Epoxy is a full-service epoxy flooring installer with extensive experience using professional and industrial-grade polyurethane coatings for floors.
Bay Garage,https://www.baygarage.com/,ChIJVfh3h8ZnhYAR9SPZGd2hnio,San Francisco,CA,ok,(925) 885-8586,info@baygarage.com,residential,Garage Flooring,"Commerce Ave Ste L Concord, CA; Concord, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/sfbaygarage"", ""instagram"": ""https://www.instagram.com/sfbaygarage/""}",True,True,Custom Garage Storage Systems & Installation | Bay Garage,Transform your garage with custom storage systems and flooring. Call for a free consultation today! 925-885-8586. Serving San Francisco East Bay's garage storage needs.
California Custom Coatings,https://californiacustomcoatings.com/,ChIJZwWy7HXdmoARo2LzwPLAoO8,San Francisco,CA,ok,(916) 612-2399; (100) 057-4363; (683) 755-7401,,commercial; concrete_polish; concrete_stain; metallic_epoxy; polyaspartic; residential,"Attractive and Durable Home Flooring in Sacramento, CA; Commercial Epoxy Flooring; Concrete; Concrete Overlays; Concrete Polish; Concrete Polishing; Concrete Stain and Seal; Concrete Staining; Concrete Staining and Polishing; Coved Flooring; Coved Flooring Systems; Epoxy; Epoxy Colors and Textures; Epoxy Flooring Colors and Textures; Epoxy Flooring Results Our Customers Love; Epoxy Flooring Systems; Epoxy Flooring – Commercial; Epoxy Flooring – Garages; Epoxy Flooring – Residential; Industrial Epoxy Flooring; Metallic Epoxy Flooring; Polished Concrete; Residential Epoxy Flooring; Trowel Grade Epoxy Flooring; Urethane Concrete; Urethane Concrete Flooring","Busy Households in Sacramento, CA; Concrete Floors in Sacramento, CA; Flooring Experts in Sacramento, CA; Home Flooring in Sacramento, CA; Suite B Rancho Cordova, CA; Your Garage Floor in Sacramento, CA","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": true, ""years_in_business"": 1}","{""facebook"": ""https://www.facebook.com/CaliforniaCustomCoatings/""}",True,False,California Custom Coatings | Epoxy and Concrete Flooring,"California Custom Coatings delivers premium epoxy flooring for garages, homes, and businesses. Durable finishes—get a free quote today."
RhynoPoxy Coatings,https://rhynopoxycoatings.com/,ChIJv2EFFwv2KqgRRoLF2mjtuVQ,San Francisco,CA,ok,(707) 777-4966; (646) 228-8287,support@whatittakesla.com; info@rhynopoxy.com,commercial; concrete_polish; epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; residential,Commercial Kitchen FlooringCommercial Kitchen Flooring; Commercial epoxy floorsCommercial epoxy floors; Garage FlooringGarage Flooring; Industrial Epoxy FloorsIndustrial Epoxy Floors; Interior epoxy floorsInterior epoxy floors; Outdoor concrete coatingsOutdoor concrete coatings; Polished concretePolished concrete; Urethane cement FloorsUrethane cement Floors,"Address Fairfield, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 15}","{""facebook"": ""https://www.facebook.com/profile.php?id=100092654354557"", ""instagram"": ""https://www.instagram.com/rhynopoxy/""}",True,True,High-Quality Epoxy & Polyaspartic | Rhynopoxy Coatings,Rhynopoxy Coatings offers high-quality epoxy flooring and polyaspartic coatings in San Francisco and Sacramento. Explore our services and customer reviews.
Kingdom Concrete San Francisco,https://www.kingdomconcretesf.com/,ChIJZyMy3fJ_j4ARBeD_QWv56W4,San Francisco,CA,ok,(415) 367-0849,,concrete_repair; concrete_stain; residential,"Achieving Durable Concrete Sidewalks in San Francisco; Concrete Flatwork; Concrete Foundations; Concrete Installation; Concrete Patios; Concrete Repair; Concrete Retaining Walls; Concrete Sidewalks; Concrete Sidewalks in San Francisco, CA; Concrete Staining; Decorative Concrete; Our Concrete Sidewalk Installation Process; Stamped Concrete","Berkeley, CA; Contractor in San Francisco, CA; Daly City, CA; Flatwork in San Francisco, CA; Foundations in San Francisco, CA; Home Serving San Francisco, CA; Installation in San Francisco, CA; Oakland, CA; San Francisco San Francisco, CA; San Francisco, CA; San Mateo, CA; Service Areas San Francisco, CA; Services in San Francisco, CA; Services inn San Francisco, CA; Sidewalks in San Francisco, CA; South San Francisco, CA","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 50}","{""facebook"": ""https://www.facebook.com/Kingdom-Concrete-San-Francisco-106764082195740"", ""linkedin"": ""https://www.linkedin.com/company/kingdom-concrete-san-francisco/""}",False,False,"Kingdom Concrete San Francisco | Concrete Contractor in San Francisco, CA","Kingdom Concrete San Francisco provides professional concrete contractor services in San Francisco, CA. Call 415-367-0849 for a free estimate."
J&C Concrete Restoration Inc.,https://www.jcconcreterestorationinc.com/,ChIJlU0un2INhYARKbTa-hWireQ,San Francisco,CA,ok,(707) 402-9864,carlos@jcconcreterestorationinc.com; jose@jcconcreterestorationinc.com,concrete_polish; concrete_stain; epoxy_flake,CONCRETE STAIN; Concrete Polishing; Concrete RestorationServices inNorthern California; Concrete Stain; Epoxy Vinyl Chip; Start Your Concrete Transformation Today; carlos@jcconcreterestorationinc.com; jose@jcconcreterestorationinc.com,,"{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 10}","{""instagram"": ""https://www.instagram.com/jcconcreterestorationinc/?utm_source=ig_embed&utm_campaign=loading"", ""facebook"": ""https://www.facebook.com/JCConcreteRestorationInc/"", ""youtube"": ""https://www.youtube.com/@JCConcreteRestoration""}",True,False,J&C Concrete Restorations Inc – Concrete Coatings | California,
Rhino Concrete Bay Area.,http://sanfrancisco-concrete.us/,ChIJR-wUpa77504RgBlTGtMoLVA,San Francisco,CA,ok,(415) 338-9089,info@sanfrancisco-concrete.us,concrete_repair,,"Based in San Francisco, CA; San Francisco, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}",{},False,True,Homepage,
San Francisco Concrete Contractors,https://sanfranciscoconcretecontractor.com/,ChIJxRWjAA3v8KIRD2QEs_79Axc,San Francisco,CA,unreachable,,,,,,{},{},False,False,,
